,X,Likelihood,pneu,plet,alpha,beta,Nanc,nu,T,scale,level,ss,h_co,dist,rep
184,184,-48.99692434,na,na,0.192307084,1092.605803,9504.597712,1.040930858,0.806173927,na,0.1,10,0.5,gamma,5
185,185,-50.13519013,0.121345786,0.003608905,0.289976976,485.0525835,9698.533685,9.731684254,0.001867606,na,0.1,10,0.5,neugammalet,4
186,186,-49.94946793,0,0.203039715,0.196885201,282.1452617,9698.533685,9.731684254,0.001867606,na,0.1,10,0.5,gammalet,4
187,187,-49.94384646,0.086048189,0,0.253421108,631.4884737,9698.533685,9.731684254,0.001867606,na,0.1,10,0.5,neugamma,4
188,188,-49.90785853,na,na,0.187158775,1217.605783,9698.533685,9.731684254,0.001867606,na,0.1,10,0.5,gamma,4
189,189,-50.25072741,0.187926243,0.001001766,0.447583019,176.056154,9792.655819,0.087296264,0.000100272,na,0.1,10,0.5,neugammalet,3
190,190,-48.82922881,0,0.311161144,0.225492767,78.35251628,9792.655819,0.087296264,0.000100272,na,0.1,10,0.5,gammalet,3
191,191,-48.84953746,0.103251402,0,0.293031382,369.7405813,9792.655819,0.087296264,0.000100272,na,0.1,10,0.5,neugamma,3
192,192,-48.72415063,na,na,0.201959961,778.3930657,9792.655819,0.087296264,0.000100272,na,0.1,10,0.5,gamma,3
193,193,-49.3792952,0.101873062,0.041263806,0.275165902,436.1518399,9804.241337,0.050017255,0.000102563,na,0.1,10,0.5,neugammalet,2
194,194,-48.44718556,0,0.047148023,0.194635562,790.3647802,9804.241337,0.050017255,0.000102563,na,0.1,10,0.5,gammalet,2
195,195,-49.47629242,0.099708149,0,0.2768036,490.3498046,9804.241337,0.050017255,0.000102563,na,0.1,10,0.5,neugamma,2
196,196,-48.4512994,na,na,0.19558726,990.1061756,9804.241337,0.050017255,0.000102563,na,0.1,10,0.5,gamma,2
197,197,-47.12582952,0.071950208,0.042500886,0.206694291,1285.625174,9616.496218,1.084276144,0.108969405,na,0.1,10,0.5,neugammalet,1
198,198,-47.13901884,0,0.07962273,0.164708547,1613.193569,9616.496218,1.084276144,0.108969405,na,0.1,10,0.5,gammalet,1
199,199,-47.43241369,0.145581647,0,0.280363302,811.2610105,9616.496218,1.084276144,0.108969405,na,0.1,10,0.5,neugamma,1
200,200,-47.11940879,na,na,0.164692632,2673.581047,9616.496218,1.084276144,0.108969405,na,0.1,10,0.5,gamma,1
201,201,-49.44034421,0.170098922,0.013010775,0.367388643,312.0392957,9808.572638,0.06781508,0.000108745,na,0.1,10,0,neugammalet,10
202,202,-50.0107634,0,0.110213983,0.187677949,639.274981,9808.572638,0.06781508,0.000108745,na,0.1,10,0,gammalet,10
203,203,-49.82320636,0.20264458,0,0.464988281,200.6541182,9808.572638,0.06781508,0.000108745,na,0.1,10,0,neugamma,10
